,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,B10,SYBR_,,Unkn,HS_ G_HS_,45051.5770819413,,Unknown,Unassigned,False
,C10,SYBR_,,Unkn,HS_ F_HS_,41366.7466110679,,Unknown,Unassigned,False
,D10,SYBR_,,Unkn,HS_ E_HS_,35303.3684390295,,Unknown,Unassigned,False
,E10,SYBR_,,Unkn,HS_ D_HS_,29360.1155810575,,Unknown,Unassigned,False
,F10,SYBR_,,Unkn,HS_ C_HS_,23409.9508620383,,Unknown,Unassigned,False
,G10,SYBR_,,Unkn,HS_ B_HS_,16997.6587577022,,Unknown,Unassigned,False
,H10,SYBR_,,Unkn,HS_ A_HS_,10508.0305394623,,Unknown,Unassigned,False
,A11,SYBR_,,Unkn,HS_ H_HS_,50718.6750222968,,Unknown,Unassigned,False
,B11,SYBR_,,Unkn,HS_ G_HS_,44767.3007668613,,Unknown,Unassigned,False
,C11,SYBR_,,Unkn,HS_ F_HS_,41150.0083181301,,Unknown,Unassigned,False
,D11,SYBR_,,Unkn,HS_ E_HS_,35569.499892843,,Unknown,Unassigned,False
,E11,SYBR_,,Unkn,HS_ D_HS_,28253.356682454,,Unknown,Unassigned,False
,F11,SYBR_,,Unkn,HS_ C_HS_,22598.3026232731,,Unknown,Unassigned,False
,G11,SYBR_,,Unkn,HS_ B_HS_,17135.0106843136,,Unknown,Unassigned,False
,H11,SYBR_,,Unkn,HS_ A_HS_,10747.481887028,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,HS 20 ng,53050.5408316081,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,HS 20 ng,53476.5973400717,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,HS 20 ng,50948.4113133793,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,HS 20 ng,50801.4630790705,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,HS 0 ng,4610.53906647918,,Unknown,Unassigned,False
,F12,SYBR,,Unkn,HS 0 ng,4524.43266589709,,Unknown,Unassigned,False
,G12,SYBR,,Unkn,HS 0 ng,4584.93595075546,,Unknown,Unassigned,False
,H12,SYBR,,Unkn,HS 0 ng,4627.71313180868,,Unknown,Unassigned,False
