,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3353.02533884909,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3389.17948094312,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3445.84374453323,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3455.19625576167,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,11964.4035124128,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,12079.9250573408,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,12005.3824301653,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,11763.2680619961,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZJn-1,4134.7915101598,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZJn-2,4572.96040102457,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZJn-3,4346.46038746473,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZJn-4,4073.26534571056,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZJn-5,5024.41026555789,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZJn-6,3603.50100353738,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZJn-7,3626.11025353969,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZJn-8,3760.18448608895,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZJn-9,3645.55938659802,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZJn-10,3591.97161908731,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZJn-11,4611.86037771368,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZJn-12,4373.33263001427,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZJn-13,4546.84785178316,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZJn-14,5873.57653876374,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZJn-15,4640.68683596422,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZJn-16,4726.78153568945,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZJn-17,4295.59844947381,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZJn-18,4162.52642489966,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZJn-19,3850.36631508572,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZJn-20,4303.66642395331,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZJn-21,4245.39090655472,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZJn-22,4122.9248402887,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZJn-23,4343.53482688997,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZJn-24,4223.37880144397,,Unknown,Unassigned,False
