,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3319.60355722857,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3338.03718150511,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3397.95883171288,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3395.98186602723,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,12037.4879059743,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,12142.7460352127,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,12096.3413828214,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,11901.1044169708,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZJn-1,4126.92827227596,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZJn-2,4573.74585168509,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZJn-3,4328.03326486746,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZJn-4,4033.67135767245,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZJn-5,4998.72857157456,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZJn-6,3572.19470707871,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZJn-7,3591.9176835084,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZJn-8,3753.28245087232,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZJn-9,3596.04924988533,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZJn-10,3552.11743057225,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZJn-11,4600.56722360969,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZJn-12,4341.29045936382,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZJn-13,4508.81176775538,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZJn-14,5847.76501529252,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZJn-15,4611.92057941111,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZJn-16,4717.82112011533,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZJn-17,4278.4550721993,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZJn-18,4116.96553427588,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZJn-19,3807.28929458466,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZJn-20,4241.30613172972,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZJn-21,4209.04004768218,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZJn-22,4063.8331483532,,Unknown,Unassigned,False
