;Well;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
55;8;G08;SYBR;;Unkn;BR_WZJn-7;3466,796062;;Unknown;Unassigned;FALSE
56;8;H08;SYBR;;Unkn;BR_WZJn-8;3457,328642;;Unknown;Unassigned;FALSE
57;9;A09;SYBR;;Unkn;BR_WZJn-9;3552,419536;;Unknown;Unassigned;FALSE
58;9;B09;SYBR;;Unkn;BR_WZJn-10;3432,280455;;Unknown;Unassigned;FALSE
59;9;C09;SYBR;;Unkn;BR_WZJn-11;4322,137394;;Unknown;Unassigned;FALSE
60;9;D09;SYBR;;Unkn;BR_WZJn-12;4140,622323;;Unknown;Unassigned;FALSE
61;9;E09;SYBR;;Unkn;BR_WZJn-13;4440,028068;;Unknown;Unassigned;FALSE
62;9;F09;SYBR;;Unkn;BR_WZJn-14;4116,507069;;Unknown;Unassigned;FALSE
63;9;G09;SYBR;;Unkn;BR_WZJn-15;4209,33638;;Unknown;Unassigned;FALSE
64;9;H09;SYBR;;Unkn;BR_WZJn-16;4117,79522;;Unknown;Unassigned;FALSE
65;10;A10;SYBR;;Unkn;BR_WZJn-17;4011,858243;;Unknown;Unassigned;FALSE
66;10;B10;SYBR;;Unkn;BR_WZJn-18;3863,909988;;Unknown;Unassigned;FALSE
67;10;C10;SYBR;;Unkn;BR_WZJn-19;3884,11956;;Unknown;Unassigned;FALSE
68;10;D10;SYBR;;Unkn;BR_WZJn-20;4174,61096;;Unknown;Unassigned;FALSE
69;10;E10;SYBR;;Unkn;BR_WZJn-21;4189,95508;;Unknown;Unassigned;FALSE
70;10;F10;SYBR;;Unkn;BR_WZJn-22;4041,258331;;Unknown;Unassigned;FALSE
71;10;G10;SYBR;;Unkn;BR_WZJn-23;4005,427736;;Unknown;Unassigned;FALSE
72;10;H10;SYBR;;Unkn;BR_WZJn-24;3802,978997;;Unknown;Unassigned;FALSE
73;11;A11;SYBR;;Unkn;BR_WZJn-25;3864,44867;;Unknown;Unassigned;FALSE
74;11;B11;SYBR;;Unkn;BR_WZJn-26;4080,67745;;Unknown;Unassigned;FALSE
75;11;C11;SYBR;;Unkn;BR_WZJn-27;4122,278862;;Unknown;Unassigned;FALSE
76;11;D11;SYBR;;Unkn;BR_WZJn-28;4091,03828;;Unknown;Unassigned;FALSE
77;11;E11;SYBR;;Unkn;BR_WZJn-29;4208,245356;;Unknown;Unassigned;FALSE
78;11;F11;SYBR;;Unkn;BR_WZJn-30;4157,597124;;Unknown;Unassigned;FALSE
79;11;G11;SYBR;;Unkn;BR_WZJn-31;4152,324001;;Unknown;Unassigned;FALSE
80;11;H11;SYBR;;Unkn;BR_WZJn-32;3690,782535;;Unknown;Unassigned;FALSE
81;12;A12;SYBR;;Unkn;BR_WZJn-33;3843,055609;;Unknown;Unassigned;FALSE
82;12;B12;SYBR;;Unkn;BR_WZJn-34;3664,090491;;Unknown;Unassigned;FALSE
83;12;C12;SYBR;;Unkn;BR_WZJn-35;4554,591994;;Unknown;Unassigned;FALSE
84;12;D12;SYBR;;Unkn;BR_WZJn-36;4277,813788;;Unknown;Unassigned;FALSE
85;12;E12;SYBR;;Unkn;BR_WZJn-37;4050,251965;;Unknown;Unassigned;FALSE
86;12;F12;SYBR;;Unkn;BR_WZJn-38;3781,665226;;Unknown;Unassigned;FALSE
87;12;G12;SYBR;;Unkn;BR_WZJn-39;3750,069671;;Unknown;Unassigned;FALSE
88;12;H12;SYBR;;Unkn;BR_WZJn-40;3556,811447;;Unknown;Unassigned;FALSE
