,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,BR 0 ng,3893.41283676316,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,BR 0 ng,3890.56161613807,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,BR 0 ng,3951.84799096211,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,BR 0 ng,3955.6003808354,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,BR 200 ng,10478.8142246478,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,BR 200 ng,10483.2711256585,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,BR 200 ng,10431.7954022798,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,BR 200 ng,10342.0380724501,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,BR_WZJn-1,4411.70076312611,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,BR_WZJn-2,4762.57154282024,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,BR_WZJn-3,4548.31046183087,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,BR_WZJn-4,4324.29221260868,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,BR_WZJn-5,5079.30324242805,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,BR_WZJn-6,4022.91220414811,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,BR_WZJn-7,4029.54779303976,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,BR_WZJn-8,4117.21828544528,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,BR_WZJn-9,4014.13645745415,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,BR_WZJn-10,3882.62626806489,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,BR_WZJn-11,4642.52763087788,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,BR_WZJn-12,4536.4241520733,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,BR_WZJn-13,4712.62471484725,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,BR_WZJn-14,5688.4888928606,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,BR_WZJn-15,4743.9554876243,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,BR_WZJn-16,4875.07596528496,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,BR_WZJn-17,4461.43410924518,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,BR_WZJn-18,4293.61509826685,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,BR_WZJn-19,3996.11083937819,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,BR_WZJn-20,4362.25681869031,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,BR_WZJn-21,4391.60916758365,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,BR_WZJn-22,4306.73728104605,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,BR_WZJn-23,4432.04975082831,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,BR_WZJn-24,4358.51082506031,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,BR_WZJn-25,4401.44026707696,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,BR_WZJn-26,4554.76894830724,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,BR_WZJn-27,4300.73046219938,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,BR_WZJn-28,4359.55239400345,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,BR_WZJn-29,4360.83371708505,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,BR_WZJn-30,4510.80848404807,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,BR_WZJn-31,4703.52495473366,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,BR_WZJn-32,4419.16425979056,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,BR_WZJn-33,4441.99566402985,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,BR_WZJn-34,4105.59053784594,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,BR_WZJn-35,4864.32651762483,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,BR_WZJn-36,4749.32878750079,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,BR_WZJn-37,4079.00906085437,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,BR_WZJn-38,4111.0968960966,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,BR_WZJn-39,4215.35122387748,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,BR_WZJn-40,4422.65106036283,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,BR_WZJn-41,4220.47769496873,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,BR_WZJn-42,4132.87255106593,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,BR_WZJn-43,4067.46611928642,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,BR_WZJn-44,3919.50841077234,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,BR_WZJn-45,4007.35703925275,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,BR_WZJn-46,4003.80948303024,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,BR_WZJn-47,4076.07018382476,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,BR_WZJn-48,4276.13583684408,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,BR_Jn mock c2,4726.12173658609,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,BR_Jn NTC1 c2,3729.2358452267,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,BR_Jn NC2 c2,3677.54064929211,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,BR_NC ex c2,3663.62168384213,,Unknown,Unassigned,False
