Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
H03;SYBR;;Unkn;BR_WZA-8;4051,000999;;Unknown;Unassigned;FALSE
A04;SYBR;;Unkn;BR_WZA-9;3841,00489;;Unknown;Unassigned;FALSE
B04;SYBR;;Unkn;BR_WZA-10;3883,303802;;Unknown;Unassigned;FALSE
C04;SYBR;;Unkn;BR_WZA-11;4088,408598;;Unknown;Unassigned;FALSE
D04;SYBR;;Unkn;BR_WZA-12;4341,136662;;Unknown;Unassigned;FALSE
E04;SYBR;;Unkn;BR_WZA-13;4246,388798;;Unknown;Unassigned;FALSE
F04;SYBR;;Unkn;BR_WZA-14;4487,586206;;Unknown;Unassigned;FALSE
G04;SYBR;;Unkn;BR_WZA-15;4272,370404;;Unknown;Unassigned;FALSE
H04;SYBR;;Unkn;BR_WZA-16;3685,390935;;Unknown;Unassigned;FALSE
A05;SYBR;;Unkn;BR_WZA-17;4316,917968;;Unknown;Unassigned;FALSE
B05;SYBR;;Unkn;BR_WZA-18;4193,215504;;Unknown;Unassigned;FALSE
C05;SYBR;;Unkn;BR_WZA-19;4406,893333;;Unknown;Unassigned;FALSE
D05;SYBR;;Unkn;BR_WZA-20;4310,488438;;Unknown;Unassigned;FALSE
E05;SYBR;;Unkn;BR_WZA-21;4472,333821;;Unknown;Unassigned;FALSE
F05;SYBR;;Unkn;BR_WZA-22;4055,195051;;Unknown;Unassigned;FALSE
G05;SYBR;;Unkn;BR_WZA-23;4038,194147;;Unknown;Unassigned;FALSE
H05;SYBR;;Unkn;BR_WZA-24;4250,99052;;Unknown;Unassigned;FALSE
A06;SYBR;;Unkn;BR_WZA-25;4356,612523;;Unknown;Unassigned;FALSE
B06;SYBR;;Unkn;BR_WZA-26;4199,317141;;Unknown;Unassigned;FALSE
C06;SYBR;;Unkn;BR_WZA-27;4759,801207;;Unknown;Unassigned;FALSE
D06;SYBR;;Unkn;BR_WZA-28;4382,397491;;Unknown;Unassigned;FALSE
E06;SYBR;;Unkn;BR_WZA-29;4388,367386;;Unknown;Unassigned;FALSE
F06;SYBR;;Unkn;BR_WZA-30;4288,004355;;Unknown;Unassigned;FALSE
G06;SYBR;;Unkn;BR_WZA-31;4341,150813;;Unknown;Unassigned;FALSE
H06;SYBR;;Unkn;BR_WZA-32;3952,294023;;Unknown;Unassigned;FALSE
A07;SYBR;;Unkn;BR_WZA-33;4322,2433;;Unknown;Unassigned;FALSE
B07;SYBR;;Unkn;BR_WZA-34;3977,250232;;Unknown;Unassigned;FALSE
C07;SYBR;;Unkn;BR_WZA-35;4471,558491;;Unknown;Unassigned;FALSE
D07;SYBR;;Unkn;BR_WZA-36;4327,173403;;Unknown;Unassigned;FALSE
E07;SYBR;;Unkn;BR_WZA-37;4122,371615;;Unknown;Unassigned;FALSE
F07;SYBR;;Unkn;BR_WZA-38;3950,361309;;Unknown;Unassigned;FALSE
G07;SYBR;;Unkn;BR_WZA-39;3895,794959;;Unknown;Unassigned;FALSE
H07;SYBR;;Unkn;BR_WZA-40;4120,319845;;Unknown;Unassigned;FALSE
A08;SYBR;;Unkn;BR_WZA-41;4089,420821;;Unknown;Unassigned;FALSE
B08;SYBR;;Unkn;BR_WZA-42;3955,56856;;Unknown;Unassigned;FALSE
C08;SYBR;;Unkn;BR_WZA-43;4203,99791;;Unknown;Unassigned;FALSE
D08;SYBR;;Unkn;BR_WZA-44;4160,712635;;Unknown;Unassigned;FALSE
E08;SYBR;;Unkn;BR_WZA-45;4357,901649;;Unknown;Unassigned;FALSE
F08;SYBR;;Unkn;BR_WZA-46;4279,904133;;Unknown;Unassigned;FALSE
G08;SYBR;;Unkn;BR_WZA-47;4075,693723;;Unknown;Unassigned;FALSE
H08;SYBR;;Unkn;BR_WZA-48;4088,631341;;Unknown;Unassigned;FALSE
