Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
A01;SYBR;;Unkn;BR 0 ng;3468,255593;;Unknown;Unassigned;FALSE
B01;SYBR;;Unkn;BR 0 ng;3487,767903;;Unknown;Unassigned;FALSE
C01;SYBR;;Unkn;BR 0 ng;3670,875333;;Unknown;Unassigned;FALSE
D01;SYBR;;Unkn;BR 0 ng;3763,717564;;Unknown;Unassigned;FALSE
E01;SYBR;;Unkn;BR 200 ng;10384,72823;;Unknown;Unassigned;FALSE
F01;SYBR;;Unkn;BR 200 ng;10451,80086;;Unknown;Unassigned;FALSE
G01;SYBR;;Unkn;BR 200 ng;9793,501282;;Unknown;Unassigned;FALSE
H01;SYBR;;Unkn;BR 200 ng;9651,364602;;Unknown;Unassigned;FALSE
A02;SYBR;;Unkn;BR_WZJn-41;3828,421757;;Unknown;Unassigned;FALSE
B02;SYBR;;Unkn;BR_WZJn-42;3809,448129;;Unknown;Unassigned;FALSE
C02;SYBR;;Unkn;BR_WZJn-43;4034,827634;;Unknown;Unassigned;FALSE
D02;SYBR;;Unkn;BR_WZJn-44;3708,427605;;Unknown;Unassigned;FALSE
E02;SYBR;;Unkn;BR_WZJn-45;3921,82853;;Unknown;Unassigned;FALSE
F02;SYBR;;Unkn;BR_WZJn-46;3791,014158;;Unknown;Unassigned;FALSE
G02;SYBR;;Unkn;BR_WZJn-47;3802,006376;;Unknown;Unassigned;FALSE
H02;SYBR;;Unkn;BR_WZJn-48;3794,997422;;Unknown;Unassigned;FALSE
A03;SYBR;;Unkn;BR_WZA-1;3875,046708;;Unknown;Unassigned;FALSE
B03;SYBR;;Unkn;BR_WZA-2;4219,209797;;Unknown;Unassigned;FALSE
C03;SYBR;;Unkn;BR_WZA-3;4963,695923;;Unknown;Unassigned;FALSE
D03;SYBR;;Unkn;BR_WZA-4;4795,854785;;Unknown;Unassigned;FALSE
E03;SYBR;;Unkn;BR_WZA-5;4643,8174;;Unknown;Unassigned;FALSE
F03;SYBR;;Unkn;BR_WZA-6;4371,129589;;Unknown;Unassigned;FALSE
G03;SYBR;;Unkn;BR_WZA-7;4439,120518;;Unknown;Unassigned;FALSE
