;Well ;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control;
50;8;B08;SYBR;;Unkn;HS_ZZ_0392;4952,84;;Unknown;Unassigned;FALSE;0,47
51;8;C08;SYBR;;Unkn;HS_ZZ_0425;4344,65;;Unknown;Unassigned;FALSE;0,04
52;8;D08;SYBR;;Unkn;HS_ZZ_0446;4378,92;;Unknown;Unassigned;FALSE;0,06
53;8;E08;SYBR;;Unkn;HS_ZZ_0482;4448,91;;Unknown;Unassigned;FALSE;0,11
54;8;F08;SYBR;;Unkn;HS_ZZ_0580;4502,51;;Unknown;Unassigned;FALSE;0,15
55;8;G08;SYBR;;Unkn;HS_ZZ_0581;4229,39;;Unknown;Unassigned;FALSE;-0,04
56;8;H08;SYBR;;Unkn;HS_ZZ_0608;4954,88;;Unknown;Unassigned;FALSE;0,47
57;9;A09;SYBR;;Unkn;HS_ZZ_0613;5221,4;;Unknown;Unassigned;FALSE;0,65
58;9;B09;SYBR;;Unkn;HS_ZZ_0674;5318,37;;Unknown;Unassigned;FALSE;0,72
59;9;C09;SYBR;;Unkn;HS_ZZ_0731;4278,11;;Unknown;Unassigned;FALSE;-0,01
60;9;D09;SYBR;;Unkn;HS_ZZ_0755;4658,08;;Unknown;Unassigned;FALSE;0,26
61;9;E09;SYBR;;Unkn;HS_ZZ_0763;5157,58;;Unknown;Unassigned;FALSE;0,61
62;9;F09;SYBR;;Unkn;HS_ZZ_0814;5789,56;;Unknown;Unassigned;FALSE;1,05
63;9;G09;SYBR;;Unkn;HS_ZZ_0820;5457,41;;Unknown;Unassigned;FALSE;0,82
64;9;H09;SYBR;;Unkn;HS_ZZ_0826;4154,58;;Unknown;Unassigned;FALSE;-0,09
65;10;A10;SYBR;;Unkn;HS_ZZ_0834;4646,66;;Unknown;Unassigned;FALSE;0,25
66;10;B10;SYBR;;Unkn;HS_ZZ_0846;5245,33;;Unknown;Unassigned;FALSE;0,67
67;10;C10;SYBR;;Unkn;HS_ZZ_0863;4681,75;;Unknown;Unassigned;FALSE;0,28
68;10;D10;SYBR;;Unkn;HS_PCRnegative;3918,53;;Unknown;Unassigned;FALSE;-0,26
69;10;E10;SYBR;;Unkn;HS_ZZ_0120;5639,21;;Unknown;Unassigned;FALSE;0,95
70;10;F10;SYBR;;Unkn;HS_ZZ_0202;5720;;Unknown;Unassigned;FALSE;1
71;10;G10;SYBR;;Unkn;HS_ZZ_0689_EXP51;4927,21;;Unknown;Unassigned;FALSE;0,45
72;10;H10;SYBR;;Unkn;HS_ZZ_0844;5554,2;;Unknown;Unassigned;FALSE;0,89
73;11;A11;SYBR;;Unkn;HS_Extractienegative;4243,3;;Unknown;Unassigned;FALSE;-0,03
74;11;B11;SYBR;;Unkn;HS_ZZ_0018;5796,79;;Unknown;Unassigned;FALSE;1,06
75;11;C11;SYBR;;Unkn;HS_ZZ_0018;11218,13;;Unknown;Unassigned;FALSE;4,85
76;11;D11;SYBR;;Unkn;HS_ZZ_0018;36978,37;;Unknown;Unassigned;FALSE;22,88
77;11;H11;SYBR;;Unkn;HS_ZZ_0166;8360,26;;Unknown;Unassigned;FALSE;2,85
78;12;A12;SYBR;;Unkn;HS_ZZ_0166;10588,1;;Unknown;Unassigned;FALSE;4,41
79;;;;;;;;;;;;
80;;;;;;;;;;;;
