SampleID;SampleLabel;Notes;Description
NIOZ184.205.206;118;;Florida_BillBags_3_SnVIII
NIOZ184.207.208;119;;Florida_BillBags_4_SnVIII
NIOZ184.209.210;120;;Florida_BillBags_5_SnVIII
NIOZ184.211.212;121;;MEX_CAR_S20_30_9_2018_SnI
NIOZ184.213.214;122;;MEX_CAR_S24_2_10_2018_SnI
NIOZ184.215.216;123;;MEX_CAR_S25_3_10_2018_SnI
NIOZ184.217.218;124;;MEX_CAR_S26_3_10_2018_SnI
NIOZ184.219.220;125;;MEX_CAR_S27_30_9_2018_SnI
NIOZ184.221.222;126;;MEX_CAR_S20_30_9_2018_SfIII
NIOZ184.223.224;127;;MEX_CAR_S24_2_10_2018_SfIII
NIOZ184.225.226;128;;MEX_CAR_S25_3_10_2018_SfIII
NIOZ184.227.228;129;;MEX_CAR_S26_3_10_2018_SfIII
NIOZ184.229.230;130;;MEX_CAR_S27_30_9_2018_SfIII
NIOZ184.231.232;131;;MEX_CAR_S20_30_9_2018_SnVIII
NIOZ184.233.234;132;;MEX_CAR_S25_3_10_2018_SnVIII
NIOZ184.235.236;133;;MEX_CAR_S26_3_10_2018_SnVIII
NIOZ184.237.238;500bpBand_38;500bp_extra_band;500bpBand_38
NIOZ184.239.240;Mock_ZYMO16S;ZYMO_mock_community;Mock_ZYMO16S
NIOZ184.241.242;PCR7mock38_neg;negative_for_sequencing;PCR7mock38_neg
NIOZ184.243.244;PCR6leftover_neg;negative_for_sequencing;PCR6leftover_neg
NIOZ184.245.246;PCR5_neg;negative_for_sequencing;PCR5_neg
NIOZ184.247.248;PCR4_neg;negative_for_sequencing;PCR4_neg
NIOZ184.249.250;PCR3_neg;negative_for_sequencing;PCR3_neg
NIOZ184.251.252;PCR2_neg;negative_for_sequencing;PCR2_neg
NIOZ184.253.254;PCR1_neg;negative_for_sequencing;PCR1_neg
