SampleID;PurificationMethod;TargetedAmpliconSize;Description
NIOZ197.219.214;GelQuant;600bp400bp;3C2E
NIOZ197.221.216;GelQuant;600bp400bp;3C3E
NIOZ197.223.218;GelQuant;600bp400bp;4A1E
NIOZ197.225.220;GelQuant;600bp400bp;4A2E
NIOZ197.227.222;GelQuant;600bp400bp;4A3E
NIOZ197.229.224;GelQuant;600bp400bp;4B1E
NIOZ197.231.226;GelQuant;600bp400bp;4B2E
NIOZ197.233.228;GelQuant;600bp400bp;4B3E
NIOZ197.235.230;GelQuant;600bp400bp;4C1E
NIOZ197.237.232;GelQuant;600bp400bp;4C2E
NIOZ197.239.234;GelQuant;600bp400bp;4C3E
NIOZ197.241.236;GelQuant;600bp400bp;5A1E
NIOZ197.243.238;GelQuant;600bp400bp;5A2E
NIOZ197.245.240;GelQuant;600bp400bp;5A3E
NIOZ197.247.242;GelQuant;600bp400bp;NTC dil. Water
NIOZ197.249.244;GelQuant;600bp400bp;negative control PCR3
NIOZ197.251.246;GelQuant;600bp400bp;negative control PCR2
NIOZ197.253.248;GelQuant;600bp400bp;negative control PCR1
NIOZ197.255.250;GelQuant;600bp400bp;Mock
